Product_ID,Warehouse,Order_Date,Shipment_Date,Lead_Time,Demand_Forecast,Inventory_Level,Stockout_Flag,Backorder_Flag,Supplier_ID,Order_Quantity,Shipment_Quantity,Product_Category,Product_Price,Customer_ID,Order_Priority,Revenue
7420,D,2023-01-01,2023-01-02,2,997,440,0,0,236,16,39,Electronics,583.61,5582,Medium,9337.76
2184,A,2023-01-01,2023-01-02,4,987,193,0,0,312,1,81,Food,831.79,1913,Medium,831.79
5555,D,2023-01-01,2023-01-02,9,953,374,0,0,485,25,66,Food,517.82,6994,High,12945.500000000002
4385,C,2023-01-01,2023-01-02,4,161,149,0,0,264,64,81,Electronics,16.48,3952,Medium,1054.72
7396,A,2023-01-01,2023-01-02,8,273,493,0,0,482,92,93,Electronics,156.79,8387,High,14424.679999999998
9666,A,2023-01-01,2023-01-02,3,352,366,0,0,264,43,27,Electronics,464.97,8867,Low,19993.710000000003
3558,A,2023-01-01,2023-01-02,3,560,497,0,0,296,14,7,Electronics,863.65,3713,Low,12091.1
8849,B,2023-01-01,2023-01-02,9,723,154,0,0,401,98,11,Furniture,233.33,6104,High,22866.34
3047,D,2023-01-02,2023-01-03,8,314,498,1,0,361,48,90,Furniture,43.7,7931,High,2097.6000000000004
3747,B,2023-01-02,2023-01-03,1,338,21,0,1,147,68,32,Furniture,418.38,2039,Low,28449.84
1189,C,2023-01-02,2023-01-03,2,514,457,0,0,226,14,87,Furniture,76.05,7815,Medium,1064.7
3734,D,2023-01-02,2023-01-03,3,838,115,0,0,467,80,51,Furniture,554.92,8797,Medium,44393.6
4005,B,2023-01-02,2023-01-03,2,841,112,0,0,235,15,40,Electronics,65.07,9714,High,976.05
5658,A,2023-01-02,2023-01-03,3,844,432,0,0,131,98,7,Clothing,26.46,5413,Low,2593.08
2899,B,2023-01-02,2023-01-03,8,774,210,1,1,200,77,1,Furniture,943.82,2142,Medium,72674.14
8734,A,2023-01-02,2023-01-03,6,225,23,0,0,176,17,25,Clothing,668.64,1741,High,11366.88
2267,B,2023-01-02,2023-01-03,7,352,282,1,0,294,92,95,Furniture,128.29,5875,Low,11802.679999999998
2528,B,2023-01-02,2023-01-03,6,944,291,0,0,300,52,6,Clothing,560.65,1312,Low,29153.8
4556,B,2023-01-02,2023-01-03,1,810,362,0,0,167,10,92,Electronics,265.8,4144,High,2658.0
4890,A,2023-01-02,2023-01-03,3,296,400,0,0,127,17,95,Electronics,763.47,7471,High,12978.99
9838,B,2023-01-02,2023-01-03,1,733,55,0,0,499,8,16,Food,816.06,9798,Low,6528.48
6393,D,2023-01-02,2023-01-03,9,512,265,1,1,156,2,15,Electronics,512.53,2631,Medium,1025.06
9792,D,2023-01-02,2023-01-03,9,555,53,0,0,302,56,22,Food,415.4,7262,Low,23262.399999999998
9433,D,2023-01-02,2023-01-03,5,875,336,0,0,154,65,18,Clothing,324.02,1021,Medium,21061.3
8513,A,2023-01-02,2023-01-03,4,153,107,0,0,182,55,50,Furniture,42.51,3404,Low,2338.0499999999997
3612,A,2023-01-02,2023-01-03,9,746,201,0,0,205,69,72,Electronics,565.12,3625,Medium,38993.28
8041,D,2023-01-02,2023-01-03,9,438,201,0,0,350,99,10,Food,513.84,1953,Low,50870.16
7235,D,2023-01-02,2023-01-03,3,458,421,0,0,441,86,49,Clothing,220.89,8098,High,18996.539999999997
6486,D,2023-01-02,2023-01-03,5,250,336,0,1,431,80,70,Furniture,536.73,4908,Low,42938.4
8099,C,2023-01-02,2023-01-03,3,199,382,0,0,459,73,10,Electronics,472.96,5614,High,34526.08
1775,D,2023-01-02,2023-01-03,2,333,473,0,0,232,36,39,Furniture,268.07,4659,Medium,9650.52
9226,B,2023-01-02,2023-01-03,1,643,217,0,0,456,9,58,Furniture,745.67,9394,Medium,6711.03
4152,C,2023-01-03,2023-01-04,2,161,242,1,1,291,14,71,Electronics,253.42,8725,Low,3547.8799999999997
2585,C,2023-01-03,2023-01-04,8,295,353,0,0,131,74,42,Food,456.53,5091,High,33783.22
4943,A,2023-01-03,2023-01-04,8,641,387,0,0,197,22,45,Electronics,538.08,2830,High,11837.76
8555,B,2023-01-03,2023-01-04,3,854,177,0,0,367,16,99,Food,813.24,9386,Medium,13011.84
4073,A,2023-01-03,2023-01-04,7,205,474,0,0,206,41,28,Food,426.34,5054,Low,17479.94
2021,A,2023-01-03,2023-01-04,7,394,60,0,0,165,67,89,Furniture,214.93,7466,High,14400.310000000001
4843,B,2023-01-03,2023-01-04,2,744,404,0,0,151,28,92,Food,24.67,6731,High,690.76
8989,A,2023-01-03,2023-01-04,9,550,35,1,0,298,94,73,Food,259.54,6877,Low,24396.760000000002
7873,B,2023-01-03,2023-01-04,3,633,357,0,0,387,29,5,Electronics,753.02,2638,High,21837.579999999998
6675,B,2023-01-03,2023-01-04,2,255,45,0,0,331,65,57,Food,822.27,9407,Medium,53447.549999999996
1161,A,2023-01-03,2023-01-04,3,505,94,0,1,262,28,80,Electronics,604.68,3781,Medium,16931.039999999997
5297,D,2023-01-03,2023-01-04,2,995,326,0,0,340,86,29,Electronics,948.85,1675,Low,81601.1
1995,A,2023-01-03,2023-01-04,8,825,43,0,0,489,32,55,Clothing,526.96,3946,High,16862.72
8629,C,2023-01-03,2023-01-04,5,837,319,1,1,121,52,23,Food,484.53,6573,Medium,25195.559999999998
2016,A,2023-01-03,2023-01-04,3,896,225,1,1,316,11,57,Electronics,834.51,6983,High,9179.61
8869,B,2023-01-03,2023-01-04,5,782,145,0,0,274,26,18,Electronics,175.33,4141,Medium,4558.58
7439,C,2023-01-03,2023-01-04,8,653,471,0,1,496,31,26,Furniture,24.99,7762,Medium,774.6899999999999
8892,B,2023-01-03,2023-01-04,7,671,268,0,0,378,20,5,Food,882.98,8235,Medium,17659.6
7863,D,2023-01-03,2023-01-04,6,474,12,0,0,271,84,8,Food,538.77,4212,High,45256.68
8916,D,2023-01-03,2023-01-04,1,688,24,0,0,108,97,19,Furniture,747.45,2258,Medium,72502.65000000001
9529,C,2023-01-03,2023-01-04,1,554,260,0,0,461,69,28,Electronics,632.63,1962,Low,43651.47
1878,D,2023-01-03,2023-01-04,1,301,127,0,1,158,41,68,Furniture,667.25,6474,Low,27357.25
5887,D,2023-01-03,2023-01-04,8,831,38,0,0,216,67,84,Clothing,591.47,5587,High,39628.490000000005
5859,A,2023-01-03,2023-01-04,8,551,156,0,0,200,44,50,Electronics,727.95,6143,Medium,32029.800000000003
7331,A,2023-01-04,2023-01-05,7,286,363,0,1,344,60,86,Food,122.36,8831,Low,7341.6
9571,D,2023-01-04,2023-01-05,6,707,184,0,0,385,98,76,Furniture,258.42,8480,Low,25325.16
9684,D,2023-01-04,2023-01-05,4,953,173,0,0,439,95,65,Furniture,484.34,7509,Medium,46012.299999999996
8208,A,2023-01-04,2023-01-05,1,823,416,0,0,399,7,8,Electronics,719.3,4301,High,5035.099999999999
6276,D,2023-01-04,2023-01-05,9,467,471,0,0,276,94,60,Furniture,315.41,3884,High,29648.54
3062,D,2023-01-04,2023-01-05,1,439,393,0,0,115,54,58,Furniture,809.15,8486,High,43694.1
1064,B,2023-01-04,2023-01-05,4,361,185,0,1,220,63,27,Food,74.69,9691,High,4705.47
9006,D,2023-01-04,2023-01-05,3,940,280,1,0,313,82,85,Furniture,792.99,7017,Medium,65025.18
3568,C,2023-01-04,2023-01-05,7,688,488,0,0,329,80,33,Electronics,702.07,6319,High,56165.600000000006
6463,B,2023-01-04,2023-01-05,5,642,73,0,0,429,13,97,Electronics,74.61,1247,Medium,969.93
3027,C,2023-01-04,2023-01-05,5,650,294,1,1,183,33,46,Furniture,41.32,4309,Medium,1363.56
3695,D,2023-01-04,2023-01-05,4,405,15,0,0,280,7,37,Furniture,841.51,9176,Medium,5890.57
6258,A,2023-01-04,2023-01-05,1,945,187,0,1,332,30,69,Food,153.35,8045,High,4600.5
6618,B,2023-01-04,2023-01-05,5,825,411,0,0,485,11,15,Furniture,260.77,4824,High,2868.47
7736,A,2023-01-04,2023-01-05,4,737,459,0,0,422,70,94,Electronics,897.33,8655,Medium,62813.100000000006
1391,B,2023-01-04,2023-01-05,8,264,171,0,0,141,21,67,Furniture,349.45,6762,Medium,7338.45
6892,A,2023-01-04,2023-01-05,2,857,185,0,0,491,32,28,Furniture,535.13,3606,Medium,17124.16
4561,B,2023-01-04,2023-01-05,8,720,31,0,0,172,5,63,Furniture,40.71,4546,Medium,203.55
7184,B,2023-01-04,2023-01-05,1,187,62,0,0,354,93,94,Clothing,573.32,9015,Medium,53318.76
4099,C,2023-01-04,2023-01-05,4,299,498,0,0,447,35,3,Clothing,716.39,8951,Low,25073.649999999998
7278,A,2023-01-04,2023-01-05,3,370,348,0,0,470,47,52,Furniture,569.46,4568,Medium,26764.620000000003
9392,C,2023-01-04,2023-01-05,5,150,300,0,0,452,12,44,Furniture,810.59,3954,Medium,9727.08
4104,C,2023-01-04,2023-01-05,5,588,308,0,0,287,37,60,Clothing,778.79,6143,Low,28815.23
8215,A,2023-01-04,2023-01-05,5,297,188,0,0,389,44,58,Food,484.32,6278,Low,21310.079999999998
3454,B,2023-01-05,2023-01-06,4,122,305,1,1,487,22,95,Furniture,648.66,6463,Medium,14270.519999999999
9996,C,2023-01-05,2023-01-06,8,764,410,0,1,339,11,14,Furniture,283.87,2399,Medium,3122.57
3731,A,2023-01-05,2023-01-06,3,322,25,1,1,472,87,6,Food,365.04,9191,High,31758.480000000003
9154,B,2023-01-05,2023-01-06,4,320,386,1,0,417,55,19,Electronics,625.67,6475,Low,34411.85
6056,C,2023-01-05,2023-01-06,1,762,345,0,0,195,10,62,Clothing,663.81,5255,Medium,6638.099999999999
9110,C,2023-01-05,2023-01-06,7,365,38,0,1,175,42,5,Clothing,94.5,4150,Low,3969.0
4840,C,2023-01-05,2023-01-06,1,172,192,0,0,101,88,49,Food,821.05,6589,Medium,72252.4
2028,B,2023-01-05,2023-01-06,2,980,162,1,1,482,80,51,Clothing,640.8,4553,High,51264.0
8385,C,2023-01-05,2023-01-06,7,176,52,0,0,277,76,26,Electronics,334.08,8912,Low,25390.079999999998
1502,B,2023-01-05,2023-01-06,1,643,474,0,1,211,55,56,Electronics,234.1,3665,High,12875.5
7910,D,2023-01-05,2023-01-06,3,980,173,0,0,472,50,18,Clothing,607.05,4061,Medium,30352.499999999996
7938,C,2023-01-05,2023-01-06,6,534,195,0,0,303,32,45,Electronics,698.93,3865,Low,22365.76
5488,D,2023-01-05,2023-01-06,6,164,210,0,0,337,88,95,Electronics,929.12,2950,High,81762.56
1206,A,2023-01-05,2023-01-06,6,456,277,0,1,125,68,82,Electronics,193.14,1152,Medium,13133.519999999999
6134,C,2023-01-05,2023-01-06,2,117,187,0,0,440,97,9,Furniture,507.89,3294,High,49265.33
6977,A,2023-01-05,2023-01-06,2,775,389,0,1,207,18,90,Food,955.63,4884,High,17201.34
8721,A,2023-01-05,2023-01-06,6,898,307,0,0,264,81,2,Clothing,910.44,1281,Medium,73745.64
8035,A,2023-01-05,2023-01-06,5,665,456,1,1,154,85,96,Furniture,483.12,3243,Medium,41065.2
2484,D,2023-01-05,2023-01-06,7,674,330,0,0,455,65,42,Clothing,556.52,5124,Low,36173.799999999996
8858,B,2023-01-05,2023-01-06,7,868,213,0,0,373,25,70,Food,917.34,3126,High,22933.5
1863,D,2023-01-05,2023-01-06,5,850,494,0,0,379,31,84,Electronics,41.8,2916,Low,1295.8
3790,D,2023-01-05,2023-01-06,8,535,328,0,0,129,84,72,Clothing,976.44,6472,Medium,82020.96
8408,A,2023-01-05,2023-01-06,6,540,28,0,0,116,90,68,Clothing,977.22,2615,Medium,87949.8
9755,C,2023-01-05,2023-01-06,5,108,170,1,0,397,19,89,Furniture,944.92,7076,High,17953.48
6116,B,2023-01-06,2023-01-07,4,569,121,0,0,180,94,31,Furniture,965.85,9228,Medium,90789.90000000001
7019,A,2023-01-06,2023-01-07,7,731,457,1,1,463,89,19,Electronics,311.03,5169,High,27681.67
2757,B,2023-01-06,2023-01-07,4,447,417,0,0,495,18,71,Food,46.7,2144,Low,840.6
8574,D,2023-01-06,2023-01-07,5,701,158,1,0,126,68,47,Electronics,291.5,2566,High,19822.0
7374,B,2023-01-06,2023-01-07,5,471,85,0,0,282,91,37,Furniture,352.21,9481,Medium,32051.109999999997
7892,B,2023-01-06,2023-01-07,1,923,301,0,0,103,33,94,Clothing,358.94,5660,Low,11845.02
2678,C,2023-01-06,2023-01-07,1,274,3,1,1,262,70,91,Clothing,683.65,6458,Low,47855.5
4242,A,2023-01-06,2023-01-07,3,614,1,0,0,431,7,81,Food,864.98,5628,High,6054.860000000001
5636,B,2023-01-06,2023-01-07,3,229,132,1,0,171,1,96,Electronics,229.77,4679,Low,229.77
2059,B,2023-01-06,2023-01-07,2,665,301,1,1,175,99,19,Electronics,452.81,6951,High,44828.19
7668,D,2023-01-06,2023-01-07,2,392,78,1,0,339,87,89,Electronics,384.73,4300,Low,33471.51
4157,D,2023-01-06,2023-01-07,6,795,146,0,0,389,80,93,Clothing,766.96,9976,Medium,61356.8
6915,B,2023-01-06,2023-01-07,1,452,165,0,0,391,59,25,Food,324.72,5909,Medium,19158.480000000003
3693,A,2023-01-06,2023-01-07,6,323,314,0,1,359,34,53,Clothing,65.65,3275,Medium,2232.1000000000004
4627,B,2023-01-06,2023-01-07,5,623,462,0,0,110,98,96,Food,340.47,8217,Low,33366.060000000005
6450,B,2023-01-06,2023-01-07,6,806,237,0,0,158,95,75,Food,360.43,9490,Medium,34240.85
2663,C,2023-01-06,2023-01-07,5,858,327,0,0,358,95,4,Electronics,824.16,1528,Medium,78295.2
6592,A,2023-01-06,2023-01-07,7,608,275,0,1,301,52,46,Clothing,552.42,3781,Medium,28725.839999999997
8392,C,2023-01-06,2023-01-07,1,467,203,0,0,367,11,31,Clothing,528.28,6041,Low,5811.08
2306,A,2023-01-06,2023-01-07,3,765,451,0,0,212,8,36,Food,602.84,2946,Low,4822.72
7776,A,2023-01-06,2023-01-07,6,689,52,0,0,172,88,4,Clothing,565.84,4623,Medium,49793.920000000006
6864,A,2023-01-06,2023-01-07,1,751,485,0,0,335,87,2,Food,684.83,5751,Medium,59580.21000000001
8526,C,2023-01-06,2023-01-07,7,599,106,1,1,105,96,39,Clothing,904.86,1076,Medium,86866.56
9901,C,2023-01-06,2023-01-07,4,189,54,0,0,188,53,97,Clothing,877.59,5558,Low,46512.270000000004
6575,C,2023-01-07,2023-01-08,3,755,245,0,1,213,15,44,Food,500.37,2561,Medium,7505.55
6530,D,2023-01-07,2023-01-08,9,171,422,1,0,464,28,91,Clothing,848.32,3524,High,23752.960000000003
5413,C,2023-01-07,2023-01-08,1,532,376,0,0,434,84,90,Electronics,864.4,2728,Medium,72609.59999999999
4748,D,2023-01-07,2023-01-08,8,788,163,0,1,420,14,19,Electronics,791.65,5000,High,11083.1
1663,D,2023-01-07,2023-01-08,1,447,441,2,0,410,90,41,Furniture,51.63,7459,Low,4646.7
2998,D,2023-01-07,2023-01-08,5,362,14,0,0,267,58,97,Food,665.43,1123,Low,38594.939999999995
8994,B,2023-01-07,2023-01-08,8,370,0,0,0,437,57,38,Electronics,320.08,6554,High,18244.559999999998
2495,B,2023-01-07,2023-01-08,6,608,350,2,1,151,52,74,Furniture,874.55,5415,Low,45476.6
4304,B,2023-01-07,2023-01-08,7,607,136,0,0,475,37,65,Food,291.12,7127,High,10771.44
4763,D,2023-01-07,2023-01-08,8,716,150,0,0,399,2,35,Clothing,919.44,2404,High,1838.88
6232,D,2023-01-07,2023-01-08,6,519,179,0,0,450,34,11,Food,618.97,8313,Medium,21044.98
2853,A,2023-01-07,2023-01-08,6,171,409,0,0,161,34,59,Clothing,648.6,3527,Medium,22052.4
7585,D,2023-01-07,2023-01-08,6,173,231,0,1,183,58,78,Food,888.86,8646,Low,51553.88
2291,B,2023-01-07,2023-01-08,5,754,491,1,0,335,98,70,Clothing,985.55,5796,Medium,96583.9
4581,D,2023-01-07,2023-01-08,8,602,486,0,0,452,73,43,Food,315.92,3175,Low,23062.16
8554,D,2023-01-07,2023-01-08,2,673,187,0,0,429,61,89,Food,97.97,8932,Low,5976.17
8280,A,2023-01-07,2023-01-08,7,245,17,1,0,256,54,87,Electronics,726.11,4281,Low,39209.94
2636,D,2023-01-07,2023-01-08,4,145,224,0,0,246,67,5,Clothing,79.48,3880,Low,5325.16
4696,C,2023-01-07,2023-01-08,1,840,104,1,0,477,30,26,Food,538.53,7588,High,16155.9
1698,A,2023-01-07,2023-01-08,5,204,486,1,1,222,83,82,Electronics,351.8,7123,High,29199.4
5737,D,2023-01-07,2023-01-08,3,208,205,0,1,386,95,32,Electronics,396.09,8498,Medium,37628.549999999996
1854,D,2023-01-07,2023-01-08,4,416,185,0,0,281,80,47,Electronics,243.13,1893,Low,19450.4
9164,A,2023-01-07,2023-01-08,7,220,64,0,0,198,59,56,Clothing,702.35,7335,High,41438.65
6855,D,2023-01-07,2023-01-08,5,598,332,1,2,289,58,85,Electronics,576.18,9477,High,33418.439999999995
8392,B,2023-01-08,2023-01-09,4,142,371,0,0,497,24,90,Furniture,952.92,1744,High,22870.079999999998
7528,C,2023-01-08,2023-01-09,1,198,206,0,0,405,15,50,Furniture,361.98,2661,Low,5429.700000000001
6249,C,2023-01-08,2023-01-09,6,805,228,0,0,350,22,99,Food,400.35,1603,High,8807.7
6172,B,2023-01-08,2023-01-09,6,410,68,0,0,414,32,74,Clothing,173.36,3006,Medium,5547.52
2707,D,2023-01-08,2023-01-09,7,313,141,1,2,297,75,58,Furniture,615.55,7730,Low,46166.25
6791,D,2023-01-08,2023-01-09,1,562,205,1,1,346,93,28,Electronics,104.0,8798,Medium,9672.0
6535,C,2023-01-08,2023-01-09,4,840,173,0,0,364,42,95,Furniture,968.49,5165,High,40676.58
5931,D,2023-01-08,2023-01-09,9,522,196,0,1,156,59,79,Clothing,910.97,7165,Low,53747.23
4510,C,2023-01-08,2023-01-09,6,488,330,1,0,382,88,55,Furniture,702.69,3347,High,61836.72
1202,C,2023-01-08,2023-01-09,2,796,415,0,0,157,83,58,Furniture,324.12,7206,High,26901.96
5218,B,2023-01-08,2023-01-09,4,211,306,0,1,436,55,40,Furniture,362.59,7833,High,19942.449999999997
9958,C,2023-01-08,2023-01-09,6,958,196,0,0,423,5,58,Electronics,96.26,4065,Medium,481.3
5389,D,2023-01-08,2023-01-09,4,371,227,1,0,285,41,72,Electronics,254.56,4446,Low,10436.960000000001
3327,D,2023-01-08,2023-01-09,7,924,270,0,0,379,57,46,Furniture,359.49,8996,Low,20490.93
9004,A,2023-01-08,2023-01-09,3,201,436,0,0,435,53,74,Electronics,453.45,9641,Low,24032.85
3931,D,2023-01-08,2023-01-09,6,309,198,0,0,161,38,45,Furniture,469.63,8787,Low,17845.94
8777,A,2023-01-08,2023-01-09,4,838,324,0,0,180,1,10,Furniture,886.26,4726,Medium,886.26
1197,C,2023-01-08,2023-01-09,3,892,477,1,0,345,60,82,Furniture,455.32,5086,Low,27319.2
8125,D,2023-01-08,2023-01-09,3,121,14,2,1,348,94,48,Food,957.85,7565,Medium,90037.90000000001
2930,B,2023-01-08,2023-01-09,2,859,285,0,1,456,76,92,Food,92.97,3318,Low,7065.72
7287,B,2023-01-08,2023-01-09,3,258,333,0,0,472,46,62,Food,218.87,7105,Medium,10068.02
9800,B,2023-01-08,2023-01-09,1,990,407,1,0,102,4,28,Clothing,394.11,5530,High,1576.44
5282,C,2023-01-08,2023-01-09,3,840,215,0,0,335,15,20,Clothing,889.27,1032,High,13339.05
3511,C,2023-01-08,2023-01-09,9,442,34,0,0,150,81,88,Food,130.99,5708,Medium,10610.19
1659,A,2023-01-09,2023-01-10,4,499,68,1,0,204,12,70,Electronics,361.51,8331,Medium,4338.12
3811,B,2023-01-09,2023-01-10,3,553,395,1,0,198,1,41,Clothing,121.05,6477,Medium,121.05
8098,A,2023-01-09,2023-01-10,8,798,211,0,0,422,77,96,Food,776.26,1330,Medium,59772.02
7546,A,2023-01-09,2023-01-10,1,242,45,0,0,179,30,6,Food,289.64,5086,Low,8689.199999999999
2986,D,2023-01-09,2023-01-10,5,949,381,0,0,400,74,11,Food,440.04,5920,Low,32562.960000000003
9338,D,2023-01-09,2023-01-10,1,969,452,0,0,489,6,30,Electronics,819.26,9511,High,4915.5599999999995
3911,B,2023-01-09,2023-01-10,7,496,247,0,0,270,73,3,Furniture,176.16,9392,High,12859.68
2734,C,2023-01-09,2023-01-10,5,635,419,0,0,254,50,72,Clothing,947.69,3976,Low,47384.5
2843,D,2023-01-09,2023-01-10,2,240,84,0,0,129,2,33,Furniture,399.99,7892,Medium,799.98
9680,C,2023-01-09,2023-01-10,1,339,47,1,2,198,6,54,Electronics,337.1,1913,Medium,2022.6000000000001
3976,A,2023-01-09,2023-01-10,7,391,230,0,0,245,75,47,Furniture,198.85,2117,Medium,14913.75
2959,A,2023-01-09,2023-01-10,1,916,66,0,1,334,90,83,Clothing,472.84,1316,Low,42555.6
6759,A,2023-01-09,2023-01-10,3,181,476,0,0,498,92,10,Electronics,980.89,5431,Low,90241.88
7694,A,2023-01-09,2023-01-10,6,659,437,0,1,451,77,19,Clothing,496.08,4914,High,38198.159999999996
3385,B,2023-01-09,2023-01-10,6,964,88,0,0,198,38,9,Clothing,457.61,8429,High,17389.18
5736,A,2023-01-09,2023-01-10,7,969,218,1,0,289,76,7,Clothing,17.55,5171,High,1333.8
2802,D,2023-01-09,2023-01-10,1,270,419,0,0,376,83,61,Food,294.79,5377,Low,24467.570000000003
9155,A,2023-01-09,2023-01-10,7,873,51,0,0,495,18,14,Clothing,235.63,2874,Low,4241.34
9120,C,2023-01-09,2023-01-10,2,679,21,0,0,356,19,2,Furniture,48.59,1960,Low,923.21
7616,D,2023-01-09,2023-01-10,6,625,421,0,1,302,28,22,Electronics,451.57,4316,Medium,12643.96
6534,C,2023-01-09,2023-01-10,8,641,98,0,0,124,12,60,Food,144.25,6459,High,1731.0
5061,C,2023-01-09,2023-01-10,5,209,445,0,0,274,96,45,Clothing,507.95,8675,High,48763.2
1262,B,2023-01-09,2023-01-10,3,311,448,1,0,300,52,20,Clothing,460.1,5902,High,23925.2
7287,B,2023-01-09,2023-01-10,8,875,130,1,0,394,77,26,Furniture,230.49,7985,Medium,17747.73
9815,C,2023-01-10,2023-01-11,8,537,87,0,0,382,87,59,Clothing,800.36,9111,Low,69631.32
3049,C,2023-01-10,2023-01-11,4,421,135,0,0,192,58,68,Electronics,927.55,9443,High,53797.899999999994
6423,A,2023-01-10,2023-01-11,8,999,495,0,0,149,94,39,Clothing,142.72,9174,High,13415.68
5548,D,2023-01-10,2023-01-11,5,813,373,1,0,318,22,23,Food,106.4,6325,Medium,2340.8
4108,A,2023-01-10,2023-01-11,5,183,38,0,0,255,45,80,Clothing,351.35,4587,High,15810.750000000002
8158,B,2023-01-10,2023-01-11,3,475,17,0,0,156,62,25,Food,614.34,4100,Medium,38089.08
8400,B,2023-01-10,2023-01-11,7,152,104,0,0,330,42,73,Clothing,635.67,2590,High,26698.14
4170,A,2023-01-10,2023-01-11,9,966,386,0,0,437,67,53,Electronics,628.71,3793,Medium,42123.57
3255,D,2023-01-10,2023-01-11,9,595,145,0,0,306,9,11,Clothing,579.96,1614,Low,5219.64
2154,C,2023-01-10,2023-01-11,1,355,335,0,0,371,64,25,Electronics,391.92,6558,Medium,25082.88
5499,A,2023-01-10,2023-01-11,1,685,223,0,2,314,15,31,Electronics,784.18,9437,Low,11762.699999999999
7295,B,2023-01-10,2023-01-11,5,319,116,0,0,283,30,46,Clothing,953.68,9112,High,28610.399999999998
7197,D,2023-01-10,2023-01-11,1,754,0,0,0,390,26,27,Food,593.73,1408,Low,15436.98
2648,B,2023-01-10,2023-01-11,4,199,116,0,1,401,94,63,Furniture,227.23,7648,High,21359.62
6539,D,2023-01-10,2023-01-11,1,228,383,0,1,166,69,47,Food,566.16,4850,High,39065.04
5199,D,2023-01-10,2023-01-11,2,318,25,0,0,346,95,14,Clothing,757.99,4456,Low,72009.05
9445,D,2023-01-10,2023-01-11,2,576,435,0,0,115,22,23,Furniture,831.39,2477,High,18290.579999999998
3557,A,2023-01-10,2023-01-11,4,882,495,0,0,434,54,16,Clothing,721.07,3405,High,38937.780000000006
6592,A,2023-01-10,2023-01-11,8,557,11,0,0,310,58,20,Furniture,891.59,3440,Low,51712.22
1098,A,2023-01-10,2023-01-11,2,121,293,0,0,173,79,3,Food,952.5,1097,High,75247.5
3200,D,2023-01-10,2023-01-11,9,789,340,0,0,472,53,6,Food,497.09,4120,Low,26345.77
3961,D,2023-01-10,2023-01-11,9,659,168,0,0,404,99,29,Electronics,545.56,2985,Low,54010.439999999995
5973,B,2023-01-10,2023-01-11,2,728,52,0,0,117,19,4,Electronics,344.14,5006,High,6538.66
5433,C,2023-01-10,2023-01-11,1,428,268,1,1,121,34,65,Clothing,662.3,6362,Medium,22518.199999999997
3869,A,2023-01-11,2023-01-12,9,987,247,0,0,205,82,8,Clothing,599.69,2395,Low,49174.58
1956,D,2023-01-11,2023-01-12,2,790,127,1,0,218,14,48,Furniture,186.93,5930,High,2617.02
9352,B,2023-01-11,2023-01-12,8,579,75,1,1,115,22,84,Furniture,697.41,9618,High,15343.019999999999
6699,B,2023-01-11,2023-01-12,3,884,268,0,2,283,88,16,Electronics,806.97,8503,Medium,71013.36
7944,B,2023-01-11,2023-01-12,1,973,145,1,1,102,13,47,Furniture,189.23,9797,Low,2459.99
5493,A,2023-01-11,2023-01-12,1,438,402,0,0,222,64,31,Electronics,172.57,9338,Medium,11044.48
5911,A,2023-01-11,2023-01-12,2,971,402,0,1,342,56,96,Electronics,642.69,9491,Low,35990.64
